,Kampal District,,
1,CENTRAL,Civic Centre,10101
2,,Old Kampala,10102
3,,Kagugube,10103
4,,Bukesa,10104
5,,Nakasero I,10105
6,,Nakasero II,10106
7,,Nakasero III,10107
8,,Nakasero IV,10108
9,,Kamwokya I,10109
10,,Kamwokya II,10110
11,,Kololo I,10111
12,,Kololo II,10112
13,,Kololo III,10113
14,,Kololo IV,10114
15,,Industrial Area,10115
16,,NakivuboShauliyako,10116
17,,Kisenyi I,10117
18,,Kisenyi II,10118
19,,Kisenyi III,10119
20,,Mengo,10120
,,,
,,,
,,,
21,KAWEMPE,Bwaise I,10201
22,,Kawempe I,10202
23,,Kanyanya,10203
24,,Kyebando,10204
25,,Mulago III,10205
26,,Mulago II,10206
27,,Makerere I,10207
28,,Makerere III,10208
29,,Bwaise III,10209
30,,Bwaise II,10210
31,,Kazo Ward,10211
32,,Kawempe II,10212
33,,Mpererwe,10213
34,,Komamboga,10214
35,,Kikaya,10215
36,,Mulago I,10216
37,,Wandegeya,10217
38,,University (Makerere),10218
39,,Makerere II,10219
,,,
,,,
,,,
NAKAWA,Naguru I,10301,
41,,Ntinda,10302
42,,U.P.K,10303
43,,Upper Estate,10304
44,,I.T.E.K,10305
45,,Nabisunsa,10306
46,,Banda,10307
47,,Kyambogo,10308
48,,Mbuya I,10309
49,,Mbuya II,10310
50,,Mutungo,10311
51,,Butabika,10312
52,,Luzira,10313
53,,Luzira Prisons,10314
54,,Bogolobi,10315
55,,Kiswa,10316
56,,Nakawa Institutions,10317
57,,Nakawa,10318
58,,Naguru II,10319
59,,Bukoto I,10320
60,,Bukoto II,10321
61,,Kiwatule,10322
62,,Kyanja,10323
,,,
,,,
63,MAKINDYE,Makindye I,10401
64,,Makindye II,10402
65,,Kibuye I,10403
66,,Kibuye II,10404
67,,Katwe I,10405
68,,Katwe II,10406
69,,Nsambya Railway,10407
70,,Nsambya Police Barracks,10408
71,,Nsambya Central,10409
72,,Nsambya Housing Estate,10410
73,,Kabalagala,10411
74,,Kibuli,10412
75,,Wabigalo,10413
76,,Kisugu,10414
77,,Bukasa,10415
78,,Kansanga-Muyenga,10416
79,,Ggaba,10417
80,,Buziga,10418
81,,Salaama,10419
82,,Luwafu,10420
83,,Lukuli,10421
,,,
,,,
4,RUBAGA,Rubaga,10501
85,,Ndeeba,10502
86,,Najjanankumbi I,10503
87,,Najjanankumbi II,10504
88,,Kabowa,10505
89,,Mutundwe,10506
90,,Busega,10507
91,,Nateete,10508
92,,Lungujja,10509
93,,Namirembe,10510
94,,Nakulabye,10511
95,,Lubia,10512
96,,Kasubi,10513
