GoldPlus SKU,Website battery code,Product name today,Technical / original pack code,Reference capacity (mAh) — ORIGINAL pack,Reference voltage (V) — ORIGINAL pack,Basis for the reference,Capacity / voltage printed on the GoldPlus pack (staff to fill),Phone brands,Phones recorded,Compatible phones (name + model number),Search keywords / aliases,Suggested SEO title (use once matches are verified),Suggested meta description (use once matches are verified)
GP-BAT-30RT,30 RT,GoldPlus Battery GP-30 RT,BL-30RT,3000,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO W5,"30 RT, 30RT, BL-30RT, TECNO W5 battery",GoldPlus 30 RT battery for TECNO W5,GoldPlus replacement battery 30 RT (replaces BL-30RT) for TECNO W5. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-4L,4L,GoldPlus Battery GP-4L,BP-4L,1500,3.7,public specification of the original pack,,Nokia,16,Nokia 6650 Fold; Nokia 6760 Slide; Nokia 6790 Surge; Nokia E52; Nokia E55; Nokia E6; Nokia E61i; Nokia E63; Nokia E71; Nokia E71x; Nokia E72; Nokia E73; Nokia E90; Nokia N800; Nokia N810; Nokia N97,"4L, BP-4L, Nokia 6650 Fold battery, Nokia 6760 Slide battery, Nokia 6790 Surge battery, Nokia E52 battery, Nokia E55 battery, Nokia E6 battery, Nokia E61i battery, Nokia E63 battery, Nokia E71 battery, Nokia E71x battery, Nokia E72 battery, Nokia E73 battery","GoldPlus 4L battery for Nokia 6650 Fold, Nokia 6760 Slide, Nokia 6790 ","GoldPlus replacement battery 4L (replaces BP-4L) for Nokia 6650 Fold, Nokia 6760 Slide, Nokia 6790 Surge, Nokia E52, Nokia E55, Nokia E6. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-4U,4U,GoldPlus Battery GP-4U,BL-4U,1200,3.7,seen on independent parts listings (2026-09-20),,Nokia,15,Nokia Asha 206; Nokia Asha 210; Nokia Asha 300; Nokia Asha 301; Nokia Asha 305; Nokia Asha 306; Nokia Asha 308; Nokia Asha 309; Nokia Asha 310; Nokia Asha 311; Nokia Asha 500; Nokia Asha 501; Nokia Asha 503; Nokia E66; Nokia E75,"4U, BL-4U, Nokia Asha 206 battery, Nokia Asha 210 battery, Nokia Asha 300 battery, Nokia Asha 301 battery, Nokia Asha 305 battery, Nokia Asha 306 battery, Nokia Asha 308 battery, Nokia Asha 309 battery, Nokia Asha 310 battery, Nokia Asha 311 battery, Nokia Asha 500 battery, Nokia Asha 501 battery","GoldPlus 4U battery for Nokia Asha 206, Nokia Asha 210, Nokia Asha 300","GoldPlus replacement battery 4U (replaces BL-4U) for Nokia Asha 206, Nokia Asha 210, Nokia Asha 300, Nokia Asha 301, Nokia Asha 305, Nokia Asha 306. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-4UL,4UL,GoldPlus Battery GP-4UL,BL-4UL,1200,3.7,seen on independent parts listings (2026-09-20),,Nokia,11,Nokia 220; Nokia 225; Nokia 225 4G; Nokia 225 Dual SIM; Nokia 230; Nokia 3310 3G; Nokia 3310 4G; Nokia 5310 (2020); Nokia 6310 (2021); Nokia Asha 500; Nokia Asha 502,"4UL, BL-4UL, Nokia 220 battery, Nokia 225 battery, Nokia 225 4G battery, Nokia 225 Dual SIM battery, Nokia 230 battery, Nokia 3310 3G battery, Nokia 3310 4G battery, Nokia 5310 (2020) battery, Nokia 6310 (2021) battery, Nokia Asha 500 battery, Nokia Asha 502 battery","GoldPlus 4UL battery for Nokia 220, Nokia 225, Nokia 225 4G, Nokia 225","GoldPlus replacement battery 4UL (replaces BL-4UL) for Nokia 220, Nokia 225, Nokia 225 4G, Nokia 225 Dual SIM, Nokia 230, Nokia 3310 3G. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-5C,5C,GoldPlus Battery GP-5C,BL-5C,1020,3.7,public specification of the original pack,,"Nokia, TECNO, itel",14,Nokia 1100; Nokia 1101; Nokia 1110; Nokia 1112; TECNO T101; TECNO T301; TECNO T312; TECNO T313; TECNO T349; TECNO T401; itel it2160 (2160); itel it2161 (2161); itel it2162 (2162); itel it2163 (2163),"5C, BL-5C, Nokia 1100 battery, Nokia 1101 battery, Nokia 1110 battery, Nokia 1112 battery, TECNO T101 battery, TECNO T301 battery, TECNO T312 battery, TECNO T313 battery, TECNO T349 battery, TECNO T401 battery, itel it2160 battery, itel it2161 battery, 2160 battery, 2161 battery, 2162 battery, 2163 battery","GoldPlus 5C battery for Nokia 1100, Nokia 1101, Nokia 1110, Nokia 1112","GoldPlus replacement battery 5C (replaces BL-5C) for Nokia 1100, Nokia 1101, Nokia 1110, Nokia 1112, TECNO T101, TECNO T301. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A02SA03S,A02S/A03S,GoldPlus Replacement Battery A02S/A03S — fits the A02s and A03s,HQ-50S,5000,3.85,seen on independent parts listings (2026-09-20),,Samsung,2,Samsung Galaxy A02s; Samsung Galaxy A03s,"A02S/A03S, HQ-50S, Samsung Galaxy A02s battery, Samsung Galaxy A03s battery","GoldPlus A02S/A03S battery for Samsung Galaxy A02s, Samsung Galaxy A03","GoldPlus replacement battery A02S/A03S (replaces HQ-50S) for Samsung Galaxy A02s, Samsung Galaxy A03s. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A03CORE,A03 CORE,GoldPlus Replacement Battery A03 CORE — fits the A03 Core,SLC-50 / HQ-50S,5000,3.85,public specification of the original pack,,Samsung,1,Samsung Galaxy A03 Core,"A03 CORE, A03CORE, HQ-50S, SLC-50, Samsung Galaxy A03 Core battery",GoldPlus A03 CORE battery for Samsung Galaxy A03 Core,GoldPlus replacement battery A03 CORE (replaces SLC-50 / HQ-50S) for Samsung Galaxy A03 Core. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-A10S,A10S,GoldPlus Replacement Battery A10S — fits the A10s,SCUD-WT-N6,4000,3.82,seen on independent parts listings (2026-09-20),,Samsung,2,Samsung Galaxy A10s (SM-A107); Samsung Galaxy A20s (SM-A207),"A10S, SCUD-WT-N6, Samsung Galaxy A10s battery, Samsung Galaxy A20s battery, SM-A107 battery, SM-A207 battery","GoldPlus A10S battery for Samsung Galaxy A10s, Samsung Galaxy A20s","GoldPlus replacement battery A10S (replaces SCUD-WT-N6) for Samsung Galaxy A10s, Samsung Galaxy A20s. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A10SA20S,A10S/A20S,GoldPlus Replacement Battery A10S/A20S — fits the A10s and A20s,SCUD-WT-N6,4000,3.82,seen on independent parts listings (2026-09-20),,Samsung,2,Samsung Galaxy A10s (SM-A107); Samsung Galaxy A20s (SM-A207),"A10S/A20S, SCUD-WT-N6, Samsung Galaxy A10s battery, Samsung Galaxy A20s battery, SM-A107 battery, SM-A207 battery","GoldPlus A10S/A20S battery for Samsung Galaxy A10s, Samsung Galaxy A20","GoldPlus replacement battery A10S/A20S (replaces SCUD-WT-N6) for Samsung Galaxy A10s, Samsung Galaxy A20s. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A11BLP727,A11/BLP727,GoldPlus Replacement Battery A11/BLP727 — fits the A11 (BLP727 pack),BLP727,5000,3.87,seen on independent parts listings (2026-09-20),,"OPPO, Realme",15,OPPO A11; OPPO A11x; OPPO A5 (2020); OPPO A9 (2020); Realme 5 (RMX1911); Realme 5i (RMX2030); Realme 5s (RMX1925); Realme 6i (RMX2040); Realme C11 (RMX2185); Realme C20 (RMX3061); Realme C20A (RMX3063); Realme C21 (RMX3201); Realme C21Y (RMX3261); Realme C25 (RMX3191); Realme C3 (RMX2020),"A11/BLP727, BLP727, OPPO A11 battery, OPPO A11x battery, OPPO A5 (2020) battery, OPPO A9 (2020) battery, Realme 5 battery, Realme 5i battery, Realme 5s battery, Realme 6i battery, Realme C11 battery, Realme C20 battery, Realme C20A battery, Realme C21 battery, RMX1911 battery, RMX2030 battery, RMX1925 battery, RMX2040 battery, RMX2185 battery, RMX3061 battery, RMX3063 battery, RMX3201 battery, RMX3261 battery, RMX3191 battery, RMX2020 battery","GoldPlus A11/BLP727 battery for OPPO A11, OPPO A11x, OPPO A5 (2020), O","GoldPlus replacement battery A11/BLP727 (replaces BLP727) for OPPO A11, OPPO A11x, OPPO A5 (2020), OPPO A9 (2020), Realme 5, Realme 5i. Check your phone's exact model number or the code on your old battery before you order."
