Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict,Claim ID
30 RT,TECNO,W5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-30RT,V3-001
A02S/A03S,Samsung,Galaxy A02s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: HQ 50S,V3-002
A02S/A03S,Samsung,Galaxy A03s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: HQ 50S,V3-003
A03 CORE,Samsung,Galaxy A03 Core,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SLC-50,V3-004
A10S/A20S,Samsung,Galaxy A10s,SM-A107,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SCUD-WT-N6,V3-005
A10S/A20S,Samsung,Galaxy A20s,SM-A207,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SCUD-WT-N6,V3-006
A12/A21S,Samsung,Galaxy A12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA217ABY,V3-007
A12/A21S,Samsung,Galaxy A21s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA217ABY,V3-008
A20/A30/A50,Samsung,Galaxy A20,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,V3-009
A20/A30/A50,Samsung,Galaxy A30,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,V3-010
A20/A30/A50,Samsung,Galaxy A50,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,V3-011
A20/A30/A50,Samsung,Galaxy A30s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,V3-012
BL-10BI,itel,it5027,5027,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-10BI,V3-013
BL-10CI,itel,it2175A,2175A,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-10CI,V3-014
BL-11CT,TECNO,T660,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11CT,V3-015
BL-11DI,itel,it5081,5081,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11DI,V3-016
BL-11GT,TECNO,T302,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11GT,V3-017
