"Claim ID","Source No.","Provisional SKU","Battery Reference","Device Brand","Series / Family","Marketing Name","Exact Model Number","Match Rule","Evidence Status","Evidence Source","Source URL","Condition / Conflict"
"1","1","GP-BAT-IPX-R1","","Apple","iPhone","iPhone X","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"2","2","GP-BAT-IPXR-R1","","Apple","iPhone","iPhone XR","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"3","3","GP-BAT-IP11-R1","","Apple","iPhone","iPhone 11","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"4","4","GP-BAT-IP11PRO-R1","","Apple","iPhone","iPhone 11 Pro","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"5","5","GP-BAT-IP11PROMAX-R1","","Apple","iPhone","iPhone 11 Pro Max","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"6","6","GP-BAT-IP12-R1","","Apple","iPhone","iPhone 12","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"7","7","GP-BAT-IP12PRO-R1","","Apple","iPhone","iPhone 12 Pro","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"8","8","GP-BAT-IP12PROMAX-R1","","Apple","iPhone","iPhone 12 Pro Max","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"9","9","GP-BAT-IP13-R1","","Apple","iPhone","iPhone 13","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"10","10","GP-BAT-IP13PRO-R1","","Apple","iPhone","iPhone 13 Pro","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"11","11","GP-BAT-IP13PROMAX-R1","","Apple","iPhone","iPhone 13 Pro Max","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"12","12","GP-BAT-IP14-R1","","Apple","iPhone","iPhone 14","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"13","13","GP-BAT-IP14PRO-R1","","Apple","iPhone","iPhone 14 Pro","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"14","14","GP-BAT-IP14PROMAX-R1","","Apple","iPhone","iPhone 14 Pro Max","Regional A-number pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Battery part number and flex revision still required."
"15","15","GP-BAT-BL39JX-R1","BL-39JX","Infinix","Hot","Hot S3X","X622","Exact only after model confirmation","Supplier claim","Supplier listing","https://www.alibaba.com/product-detail/Best-cell-phone-li-polymer-battery_1600161915346.html",""
