"claimId","batteryReference","resolvesToLiveBattery","deviceBrand","marketingName","exactModelNumber","workbookEvidence","evidenceSource","sourceUrl","importerOutcome","stagedEvidenceStatus","holdOrError","proposal"
"1","","","Apple","iPhone X","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"2","","","Apple","iPhone XR","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"3","","","Apple","iPhone 11","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"4","","","Apple","iPhone 11 Pro","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"5","","","Apple","iPhone 11 Pro Max","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"6","","","Apple","iPhone 12","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"7","","","Apple","iPhone 12 Pro","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"8","","","Apple","iPhone 12 Pro Max","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"9","","","Apple","iPhone 13","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"10","","","Apple","iPhone 13 Pro","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"11","","","Apple","iPhone 13 Pro Max","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"12","","","Apple","iPhone 14","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"13","","","Apple","iPhone 14 Pro","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"14","","","Apple","iPhone 14 Pro Max","Regional A-number pending","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","Battery code is required.","NOT IMPORTABLE: battery is not a live product"
"15","BL-39JX","BL-39JX","Infinix","Hot S3X","X622","Supplier claim","Supplier listing","https://www.alibaba.com/product-detail/Best-cell-phone-li-polymer-battery_1600161915346.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"16","BL-39JX","BL-39JX","Infinix","Hot 6X","X623","Supplier claim","Supplier listing","https://www.alibaba.com/product-detail/Best-cell-phone-li-polymer-battery_1600161915346.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"17","BL-39KX","BL-39KX","Infinix","Hot 7","X624","Supplier cross-check","Dama Mobile Spares","https://damamobilespares.co.ke/product/infinix-x624-baterrybl-39kx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"18","BL-39KX","BL-39KX","Infinix","Hot 7 Pro","X625D","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x626b-x625d-s4-hot-7-pro-smartphone-replacement-battery-bl-39kx","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"19","BL-39KX","BL-39KX","Infinix","S4","X626/X626B","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x626b-x625d-s4-hot-7-pro-smartphone-replacement-battery-bl-39kx","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"20","Battery code missing","","Samsung","Galaxy A32 5G","SM-A326 family","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","No battery for ""Battery code missing"". Import the catalogue first or add ""Battery code missing"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"21","BL-49ET","BL-49ET","TECNO","Pouvoir 2 Air","LB6","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"22","BL-49ET","BL-49ET","TECNO","Pouvoir 3 Air","LC6","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"23","BL-49ET","BL-49ET","TECNO","Pop 2 Plus","BA2","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"24","BL-49DT","BL-49DT","TECNO","Pouvoir 1","LA6","Supplier cross-check","YEAKON","https://www.yeakon.com/products/compatible-with-tecno-transsion-pouvoir-1_la6_pouvoir-2-pro_la7-mobile-cell-phone-battery-bl-49dt","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"25","BL-49DT","BL-49DT","TECNO","Pouvoir 2 Pro","LA7","Supplier cross-check","YEAKON","https://www.yeakon.com/products/compatible-with-tecno-transsion-pouvoir-1_la6_pouvoir-2-pro_la7-mobile-cell-phone-battery-bl-49dt","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"26","BL-49DT","BL-49DT","TECNO","Pouvoir 3","LB7","Supplier claim","Supplier poster / Alibaba listing","https://www.alibaba.com/product-detail/BL-49DT-5000mAh-LB7-mobile-phone_1600138629773.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"27","BL-49DT","BL-49DT","itel","P51","Exact model number pending","Inventory/poster candidate","Supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"28","BL-49JX","BL-49JX","Infinix","Note 10 Pro","X695","Supplier cross-check","GSMserver","https://gsmserver.com/en/battery-bl-49jx-compatible-with-infinix-hot-30-note-10-pro-note-11-pro-li-polymer-3-87-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"29","BL-49JX","BL-49JX","Infinix","Note 11 Pro","X697","Supplier cross-check","GSMserver","https://gsmserver.com/en/battery-bl-49jx-compatible-with-infinix-hot-30-note-10-pro-note-11-pro-li-polymer-3-87-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"30","BL-49JX","BL-49JX","Infinix","Zero 5G","X6815","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/X695-X697-X6815-original-batteries-BL_1600573528663.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"31","BL-49FT","BL-49FT","TECNO","Camon 15","CD7","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"32","BL-49FT","BL-49FT","TECNO","Pop 4","BC2","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"33","BL-49FT","BL-49FT","TECNO","Pop 4 Pro","BC3","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"34","BL-49FT","BL-49FT","TECNO","Spark 5 Pro","KD7","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"35","BL-49FT","BL-49FT","TECNO","Spark 6 Go","KE5/KE5J","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"36","BL-49FT","BL-49FT","TECNO","Spark 7","KF6n","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"37","BL-49FT","BL-49FT","TECNO","Spark 7 Go","KF6m","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"38","BL-49JT","BL-49JT","TECNO","Camon 17 Pro","CG8","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"39","BL-49JT","BL-49JT","TECNO","Camon 18P","CH7","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"40","BL-49JT","BL-49JT","TECNO","Spark 8 Pro","Exact code pending","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"41","BL-58BX","BL-58BX","Infinix","Hot 9 Play","X680","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"42","BL-58BX","BL-58BX","Infinix","Hot 10 Play","X688B/X688C","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"43","BL-58BX","BL-58BX","Infinix","Hot 10S","Exact code pending","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"44","BL-58BX","BL-58BX","Infinix","Smart 4 Plus","Exact code pending","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"45","BL-58BX","BL-58BX","Infinix","Smart 5","Exact code pending","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"46","BL-58BX","BL-58BX","Infinix","Hot 12 Play","X6816 family","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"47","BL-58BX","BL-58BX","Infinix","Hot 30 Play","X6835 family","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"48","BL-49GX","BL-49GX","Infinix","Note 7","X690","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"49","BL-49GX","BL-49GX","Infinix","Note 7 Lite","X656","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"50","BL-49GX","BL-49GX","Infinix","Note 10","X693","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"51","BL-49GX","BL-49GX","Infinix","Hot 11S","X6812","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"52","BL-49GX","BL-49GX","Infinix","Hot 12 Pro","Exact code pending","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"53","WT140","WT140","Nokia","C01 Plus","TA model pending","Inventory-name claim","BATTERIES (2).xlsx","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"54","Battery code missing","","Samsung","Galaxy Grand Prime","SM-G530 family","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","No battery for ""Battery code missing"". Import the catalogue first or add ""Battery code missing"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"55","BL-34CT","BL-34CT","TECNO","Spark 3","Exact model pending","Poster claim","GoldPlus supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"56","BL-58BT","BL-58BT","TECNO","Pouvoir 4","LC7/LC7S","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"57","BL-58BT","BL-58BT","TECNO","Pouvoir 4 Pro","LC8","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"58","BL-58BT","BL-58BT","TECNO","Spark 6 Air","KE6","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"59","BL-48BT","BL-48BT","TECNO","Pop 5","BD2","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-48bt-compatible-with-tecno-pop-5-bd2-li-polymer-3-85-v-5000-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"60","BL-51BX","BL-51BX","Infinix","Note 8","X692","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
