Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict,Claim ID
30 RT,TECNO,W5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-30RT,P001
A02S/A03S,Samsung,Galaxy A02s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: HQ 50S,P002
A02S/A03S,Samsung,Galaxy A03s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: HQ 50S,P003
A03 CORE,Samsung,Galaxy A03 Core,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SLC-50,P004
A10S/A20S,Samsung,Galaxy A10s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SCUD-WT-N6,P005
A10S/A20S,Samsung,Galaxy A20s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: SCUD-WT-N6,P006
A12/A21S,Samsung,Galaxy A12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA217ABY,P007
A12/A21S,Samsung,Galaxy A21s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA217ABY,P008
A20/A30/A50,Samsung,Galaxy A20,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,P009
A20/A30/A50,Samsung,Galaxy A30,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,P010
A20/A30/A50,Samsung,Galaxy A50,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,P011
A20/A30/A50,Samsung,Galaxy A30s,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: EB BA505ABU,P012
BL-10BI,itel,it5027,5027,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-10BI,P013
BL-10CI,itel,it2175A,2175A,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-10CI,P014
BL-11CT,TECNO,T660,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11CT,P015
BL-11DI,itel,it5081,5081,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11DI,P016
BL-11GT,TECNO,T302,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-11GT,P017
BL-15BI,itel,A14,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15BI,P018
BL-15BI,itel,it1409,1409,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15BI,P019
