section,battery_model,phone_models,reading_note
TECNO/Infinix/itel,BL-10BI,5027,
TECNO/Infinix/itel,BL-10CI,2175A,
TECNO/Infinix/itel,BL-11CT,T660,
TECNO/Infinix/itel,BL-11DI,5081,
TECNO/Infinix/itel,BL-11DT,T661,
TECNO/Infinix/itel,BL-11GT,T302,
TECNO/Infinix/itel,BL-15BI,"A14,1409",
TECNO/Infinix/itel,BL-15DT,T350,
TECNO/Infinix/itel,BL-15ET,S1,
TECNO/Infinix/itel,BL-15FI,A11,
TECNO/Infinix/itel,BL-15FT,T454,
TECNO/Infinix/itel,BL-15HI,5082,
TECNO/Infinix/itel,BL-18CT,"Y3,Y4,J5",
TECNO/Infinix/itel,BL-19CI,6910,
TECNO/Infinix/itel,BL-19CT,T472,
TECNO/Infinix/itel,BL-20HI,A32F,
TECNO/Infinix/itel,BL-20JT,"F1,F2,SA6S",
TECNO/Infinix/itel,BL-20NT,T315,
TECNO/Infinix/itel,BL-21BI,1503,
TECNO/Infinix/itel,BL-21CI,A33,
TECNO/Infinix/itel,BL-23AT,"H6,Y6",
TECNO/Infinix/itel,BL-23CT,S6S,
TECNO/Infinix/itel,BL-24EI,1508,
TECNO/Infinix/itel,BL-24ET,"Pop1,Pop2,Pop2F",
TECNO/Infinix/itel,BL-24FI,"A22p,S12",
TECNO/Infinix/itel,BL-24FT,F2,
TECNO/Infinix/itel,BL-25BI,5600,
TECNO/Infinix/itel,BL-25BT,T528,
TECNO/Infinix/itel,BL-25DI,1516,
TECNO/Infinix/itel,BL-25FT,"W3,N6S",
TECNO/Infinix/itel,BL-25IT,W2,
TECNO/Infinix/itel,BL-25JT,WX3,
TECNO/Infinix/itel,BL-28ATLONG,"Y3Plus,Y2",
TECNO/Infinix/itel,BL-28BT,WX4,
TECNO/Infinix/itel,BL-29AI,S32,
TECNO/Infinix/itel,BL-29BI,"5091,S15",
TECNO/Infinix/itel,BL-29BT,Spark4Air,
TECNO/Infinix/itel,BL-29CI,A36,
TECNO/Infinix/itel,BL-29DI,A14max,printed as "BL-29D1"
TECNO/Infinix/itel,BL-29FT,T353,
TECNO/Infinix/itel,BL-30EI,1702,
TECNO/Infinix/itel,BL-30HT,C8,
TECNO/Infinix/itel,BL-30IX,"X522,Zero3",
