productRef,deviceRef,fitType,confidence,evidenceSource,notes
GP-BAT-BL39KX,infinix-hot-7,exact,declared,Supplier cross-check: Dama Mobile Spares,Battery BL-39KX; models X624.
GP-BAT-BL39KX,infinix-hot-7-pro,exact,declared,Supplier cross-check: Digital Store Kenya,Battery BL-39KX; models X625D.
GP-BAT-BL39KX,infinix-s4,exact,declared,Supplier cross-check: Digital Store Kenya,Battery BL-39KX; models X626/X626B.
GP-BAT-BL49ET,tecno-pouvoir-2-air,exact,declared,Supplier cross-check: YEAKON,Battery BL-49ET; models LB6.
GP-BAT-BL49ET,tecno-pouvoir-3-air,exact,declared,Supplier cross-check: YEAKON,Battery BL-49ET; models LC6.
GP-BAT-BL49ET,tecno-pop-2-plus,exact,declared,Supplier cross-check: YEAKON,Battery BL-49ET; models BA2.
GP-BAT-BL49DT,tecno-pouvoir-1,exact,declared,Supplier cross-check: YEAKON,Battery BL-49DT; models LA6.
GP-BAT-BL49DT,tecno-pouvoir-2-pro,exact,declared,Supplier cross-check: YEAKON,Battery BL-49DT; models LA7.
GP-BAT-BL49JX,infinix-note-10-pro,exact,declared,Supplier cross-check: GSMserver,Battery BL-49JX; models X695.
GP-BAT-BL49JX,infinix-note-11-pro,exact,declared,Supplier cross-check: GSMserver,Battery BL-49JX; models X697.
GP-BAT-BL49JX,infinix-zero-5g,exact,declared,Supplier cross-check: Alibaba supplier,Battery BL-49JX; models X6815.
GP-BAT-BL49FT,tecno-camon-15,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models CD7.
GP-BAT-BL49FT,tecno-pop-4,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models BC2.
GP-BAT-BL49FT,tecno-pop-4-pro,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models BC3.
GP-BAT-BL49FT,tecno-spark-5-pro,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models KD7.
GP-BAT-BL49FT,tecno-spark-6-go,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models KE5/KE5J.
GP-BAT-BL49FT,tecno-spark-7,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models KF6n.
GP-BAT-BL49FT,tecno-spark-7-go,exact,declared,Supplier cross-check: All Spares,Battery BL-49FT; models KF6m.
GP-BAT-BL49JT,tecno-camon-17-pro,exact,declared,Supplier cross-check: Alibaba supplier,Battery BL-49JT; models CG8.
GP-BAT-BL49JT,tecno-camon-18p,exact,declared,Supplier cross-check: Alibaba supplier,Battery BL-49JT; models CH7.
GP-BAT-BL49JT,tecno-spark-8-pro,exact,declared,Supplier cross-check: Alibaba supplier,Battery BL-49JT; models Exact code pending.
GP-BAT-BL49GX,infinix-note-7,exact,declared,Supplier cross-check: Zeenkart / supplier listing,Battery BL-49GX; models X690.
GP-BAT-BL49GX,infinix-note-7-lite,exact,declared,Supplier cross-check: Zeenkart / supplier listing,Battery BL-49GX; models X656.
GP-BAT-BL49GX,infinix-note-10,exact,declared,Supplier cross-check: Zeenkart / supplier listing,Battery BL-49GX; models X693.
GP-BAT-BL49GX,infinix-hot-11s,exact,declared,Supplier cross-check: Zeenkart / supplier listing,Battery BL-49GX; models X6812.
GP-BAT-BL49GX,infinix-hot-12-pro,exact,declared,Supplier cross-check: Zeenkart / supplier listing,Battery BL-49GX; models Exact code pending.
GP-BAT-BL58BT,tecno-pouvoir-4,exact,declared,Supplier cross-check: Alibaba / supplier listing,Battery BL-58BT; models LC7/LC7S.
GP-BAT-BL58BT,tecno-pouvoir-4-pro,exact,declared,Supplier cross-check: Alibaba / supplier listing,Battery BL-58BT; models LC8.
GP-BAT-BL58BT,tecno-spark-6-air,exact,declared,Supplier cross-check: Alibaba / supplier listing,Battery BL-58BT; models KE6.
GP-BAT-BL48BT,tecno-pop-5,exact,declared,Supplier cross-check: All Spares,Battery BL-48BT; models BD2.
GP-BAT-BL51BX,infinix-note-8,exact,declared,Supplier cross-check: All Spares,Battery BL-51BX; models X692.
GP-BAT-BL51BX,infinix-note-8i,exact,declared,Supplier cross-check: All Spares,Battery BL-51BX; models X683.
GP-BAT-BL51BX,infinix-hot-10,exact,declared,Supplier cross-check: All Spares,Battery BL-51BX; models X682.
GP-BAT-BL43BX,infinix-note-5,exact,declared,Supplier cross-check: Digital Store Kenya,Battery BL-43BX; models X604/X604B.
