brand,model,modelAliases,slug
Infinix,Hot 7,X624,infinix-hot-7
Infinix,Hot 7 Pro,X625D,infinix-hot-7-pro
Infinix,S4,X626|X626B,infinix-s4
TECNO,Pouvoir 2 Air,LB6,tecno-pouvoir-2-air
TECNO,Pouvoir 3 Air,LC6,tecno-pouvoir-3-air
TECNO,Pop 2 Plus,BA2,tecno-pop-2-plus
TECNO,Pouvoir 1,LA6,tecno-pouvoir-1
TECNO,Pouvoir 2 Pro,LA7,tecno-pouvoir-2-pro
Infinix,Note 10 Pro,X695,infinix-note-10-pro
Infinix,Note 11 Pro,X697,infinix-note-11-pro
Infinix,Zero 5G,X6815,infinix-zero-5g
TECNO,Camon 15,CD7,tecno-camon-15
TECNO,Pop 4,BC2,tecno-pop-4
TECNO,Pop 4 Pro,BC3,tecno-pop-4-pro
TECNO,Spark 5 Pro,KD7,tecno-spark-5-pro
TECNO,Spark 6 Go,KE5|KE5J,tecno-spark-6-go
TECNO,Spark 7,KF6n,tecno-spark-7
TECNO,Spark 7 Go,KF6m,tecno-spark-7-go
TECNO,Camon 17 Pro,CG8,tecno-camon-17-pro
TECNO,Camon 18P,CH7,tecno-camon-18p
TECNO,Spark 8 Pro,Exact code pending,tecno-spark-8-pro
Infinix,Note 7,X690,infinix-note-7
Infinix,Note 7 Lite,X656,infinix-note-7-lite
Infinix,Note 10,X693,infinix-note-10
Infinix,Hot 11S,X6812,infinix-hot-11s
Infinix,Hot 12 Pro,Exact code pending,infinix-hot-12-pro
TECNO,Pouvoir 4,LC7|LC7S,tecno-pouvoir-4
TECNO,Pouvoir 4 Pro,LC8,tecno-pouvoir-4-pro
TECNO,Spark 6 Air,KE6,tecno-spark-6-air
TECNO,Pop 5,BD2,tecno-pop-5
Infinix,Note 8,X692,infinix-note-8
Infinix,Note 8i,X683,infinix-note-8i
Infinix,Hot 10,X682,infinix-hot-10
Infinix,Note 5,X604|X604B,infinix-note-5
